# wave, tp
6.000000000000000000e+03,1.630198082975961305e-01
6.094188376753506418e+03,1.779037290185059295e-01
6.188376753507013746e+03,1.921823863572545699e-01
6.282565130260521073e+03,2.065795180665381259e-01
6.376753507014028401e+03,2.213269020155647082e-01
6.470941883767534819e+03,2.382842626352546511e-01
6.565130260521041237e+03,2.570815569900291586e-01
6.659318637274549474e+03,2.763716310940613208e-01
6.753507014028055892e+03,2.965986237592384001e-01
6.847695390781563219e+03,3.175464124054031001e-01
6.941883767535069637e+03,3.391771559143468284e-01
7.036072144288576965e+03,3.602500514886390892e-01
7.130260521042084292e+03,3.775980157397871850e-01
7.224448897795591620e+03,3.925914230304821673e-01
7.318637274549098038e+03,4.056975271286767382e-01
7.412825651302604456e+03,4.165099988164560063e-01
7.507014028056111783e+03,4.238035821356501698e-01
7.601202404809619111e+03,4.269021652573036230e-01
7.695390781563126438e+03,4.277361951195875478e-01
7.789579158316632856e+03,4.289958877623522016e-01
7.883767535070141093e+03,4.279573964485300919e-01
7.977955911823646602e+03,4.264905962178508481e-01
8.072144288577153930e+03,4.232431324323769894e-01
8.166332665330661257e+03,4.205550915483254326e-01
8.260521042084168585e+03,4.172470020532545454e-01
8.354709418837675912e+03,4.141631645616279389e-01
8.448897795591183240e+03,4.116531532022582596e-01
8.543086172344688748e+03,4.097610029446510094e-01
8.637274549098196076e+03,4.086656453187180182e-01
8.731462925851703403e+03,4.078917058184198807e-01
8.825651302605210731e+03,4.078759550431976244e-01
8.919839679358718058e+03,4.094752845307790823e-01
9.014028056112223567e+03,4.107251840550963373e-01
9.108216432865730894e+03,4.129984095502135522e-01
9.202404809619238222e+03,4.162199527436655777e-01
9.296593186372745549e+03,4.203881963894408047e-01
9.390781563126252877e+03,4.251557504854686087e-01
9.484969939879760204e+03,4.304739244622174943e-01
9.579158316633267532e+03,4.360763897793010213e-01
9.673346693386773040e+03,4.425084539114955140e-01
9.767535070140280368e+03,4.495846069231927977e-01
9.861723446893787695e+03,4.570639209407062475e-01
9.955911823647295023e+03,4.647345882176135978e-01
1.005010020040080235e+04,4.727039063997119928e-01
1.014428857715430786e+04,4.806485321538548905e-01
1.023847695390781519e+04,4.888930086214397508e-01
1.033266533066132433e+04,4.972736121368449558e-01
1.042685370741482984e+04,5.055911839517508444e-01
1.052104208416833717e+04,5.137691155713103308e-01
1.061523046092184268e+04,5.220238855546498469e-01
1.070941883767535001e+04,5.307939540086205055e-01
1.080360721442885551e+04,5.398173623222841666e-01
1.089779559118236466e+04,5.486103014084583451e-01
1.099198396793587199e+04,5.571597176970873866e-01
1.108617234468937750e+04,5.657523147913799955e-01
1.118036072144288482e+04,5.738968833685740289e-01
1.127454909819639397e+04,5.814229202287511944e-01
1.136873747494989948e+04,5.884968270989704431e-01
1.146292585170340681e+04,5.947742968607813152e-01
1.155711422845691595e+04,6.005464759227848726e-01
1.165130260521042146e+04,6.060194289511113830e-01
1.174549098196392697e+04,6.107147371789330981e-01
1.183967935871743612e+04,6.148563788872805080e-01
1.193386773547094162e+04,6.189797656746260923e-01
1.202805611222444713e+04,6.228730267567734735e-01
